200	MB_MOVE_E           	012	I	GOODSMVT_ITEM                 	S_ORD_ITEM                    	ITEM      	KDPOS                         	
200	MB_MOVE_E           	014	I	GOODSMVT_ITEM                 	VAL_SALES_ORD                 	ITEM      	KDAUF                         	
200	MB_MOVE_E           	015	I	GOODSMVT_ITEM                 	VAL_S_ORD_ITEM                	ITEM      	KDPOS                         	
200	MB_MOVE_E           	036	R	MATDOCUMENTYEAR               	                              	HEAD      	MJAHR                         	
200	MB_MOVE_E           	037	R	MATERIALDOCUMENT              	                              	HEAD      	MBLNR                         	
200	MB_MOVE_E           	038	R	RETURN                        	                              	RET       	                              	
200	MB_MOVE_E           	016	I	GOODSMVT_ITEM                 	SALES_ORD                     	ITEM      	MOVE_KDAUF                    	
200	MB_MOVE_E           	017	I	GOODSMVT_ITEM                 	S_ORD_ITEM                    	ITEM      	MOVE_KDPOS                    	
200	MB_MOVE_E           	009	I	GOODSMVT_ITEM                 	MOVE_TYPE                     	ITEM      	BWART                         	
200	MO_CONF             	001	I	TIMETICKETS                   	CONF_NO                       	ITEM      	RUECK                         	
200	MO_CONF             	002	I	TIMETICKETS                   	YIELD                         	ITEM      	MENGE                         	
200	MO_CONF             	003	I	TIMETICKETS                   	POSTG_DATE                    	HEAD      	BUDAT                         	
200	MO_CONF             	004	R	DETAIL_RETURN                 	                              	RET       	                              	
200	MO_CONF             	005	R	RETURN                        	                              	RET       	                              	
200	PO_CREATE           	001	H	POHEADER                      	ITEM_INTVL                    	          	                              	0
200	PO_CREATE           	002	H	POHEADER                      	COMP_CODE                     	HEAD      	BUKRS                         	
200	PO_CREATE           	003	H	POHEADER                      	VENDOR                        	HEAD      	LIFNR                         	
200	PO_CREATE           	004	H	POHEADER                      	PURCH_ORG                     	HEAD      	EKORG                         	
200	PO_CREATE           	005	H	POHEADER                      	PUR_GROUP                     	HEAD      	EKGRP                         	
200	PO_CREATE           	006	H	POHEADER                      	DOC_TYPE                      	HEAD      	BSART                         	
200	PO_CREATE           	007	I	POACCOUNT                     	ITM_NUMBER                    	ITEM      	KDPOS                         	
200	PO_CREATE           	008	I	POACCOUNT                     	SD_DOC                        	ITEM      	KDAUF                         	
200	PO_CREATE           	009	I	POACCOUNT                     	QUANTITY                      	ITEM      	MENGE                         	
200	PO_CREATE           	010	I	POACCOUNT                     	PO_ITEM                       	ITEM      	AFONR                         	
200	PO_CREATE           	011	I	POACCOUNT                     	COSTCENTER                    	HEAD      	KOSTL                         	
200	PO_CREATE           	014	I	POCOND                        	COND_P_UNT                    	ITEM      	PEINH                         	
200	PO_CREATE           	015	I	POCOND                        	CURRENCY                      	HEAD      	WAERS                         	
200	PO_CREATE           	016	I	POCOND                        	ITM_NUMBER                    	ITEM      	AFONR                         	
200	PO_CREATE           	017	I	POCOND                        	COND_VALUE                    	ITEM      	PRICE                         	
200	PO_CREATE           	018	I	POITEM                        	TRACKINGNO                    	ITEM      	SATNR                         	
200	PO_CREATE           	019	I	POITEM                        	MATL_GROUP                    	ITEM      	MATKL                         	
200	PO_CREATE           	020	I	POITEM                        	ACCTASSCAT                    	ITEM      	KNTTP                         	
200	PO_CREATE           	021	I	POITEM                        	PLANT                         	HEAD      	WERKS                         	
200	PO_CREATE           	022	I	POITEM                        	PREQ_ITEM                     	ITEM      	BNFPO                         	
200	PO_CREATE           	023	I	POITEM                        	PO_ITEM                       	ITEM      	AFONR                         	
200	PO_CREATE           	024	I	POITEM                        	MATERIAL                      	ITEM      	MATNR                         	
